Arquivo,Status Paridade,Erros Humanos Detectados,Tracao Python,Tracao Excel,Divergencia
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 47.xlsm,FAILED,Nenhum,534.8323,599.2927,64.460386
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 48.xlsm,OK,Nenhum,304.2330,304.2330,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 49.xlsm,OK,Nenhum,138.2400,138.2400,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 50.xlsm,OK,Nenhum,251.1100,251.1100,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 51.xlsm,OK,Nenhum,18.4900,18.4900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 52.xlsm,OK,Nenhum,228.4600,228.4600,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 53.xlsm,OK,SOBRECARGA: Esforco(323.77) > Resistencia(300.0),323.7700,323.7700,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 54.xlsm,OK,Nenhum,279.4500,279.4500,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 55.xlsm,OK,Nenhum,137.4700,137.4700,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 56.xlsm,OK,Nenhum,102.2500,102.2500,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 57.xlsm,OK,Nenhum,142.1400,142.1400,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 58.xlsm,FAILED,Nenhum,287.8680,255.5611,32.306855
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 59.xlsm,OK,Nenhum,108.7673,108.7673,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 60.xlsm,FAILED,Nenhum,476.0699,473.5928,2.477180
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 61.xlsm,FAILED,Nenhum,147.6056,125.8975,21.708094
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 62.xlsm,OK,SOBRECARGA: Esforco(413.29) > Resistencia(300.0),413.2946,413.2946,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 63.xlsm,FAILED,Nenhum,203.8707,183.7968,20.073937
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 64.xlsm,OK,Nenhum,308.6135,308.6135,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 65.xlsm,OK,Nenhum,142.4800,142.4800,0.000000
